record,tile,plane,local_lane,accepted_flits
lane,1,11,2,170
lane,1,11,3,655
lane,1,12,0,0
lane,1,12,1,0
lane,1,12,2,10
lane,1,12,3,0
lane,1,13,0,0
lane,1,13,1,0
lane,1,13,2,25
lane,1,13,3,75
lane,1,14,0,0
lane,1,14,1,10
lane,1,14,2,175
lane,1,14,3,325
lane,1,15,0,5
lane,1,15,1,95
lane,1,15,2,455
lane,1,15,3,715
tile_total,1,-1,-1,3475
lane,2,0,0,0
lane,2,0,1,0
lane,2,0,2,0
lane,2,0,3,0
lane,2,1,0,0
lane,2,1,1,0
lane,2,1,2,0
lane,2,1,3,0
lane,2,2,0,0
lane,2,2,1,0
lane,2,2,2,0
lane,2,2,3,0
lane,2,3,0,0
lane,2,3,1,0
lane,2,3,2,0
lane,2,3,3,75
lane,2,4,0,0
lane,2,4,1,0
lane,2,4,2,0
lane,2,4,3,0
lane,2,5,0,0
lane,2,5,1,0
lane,2,5,2,0
lane,2,5,3,0
lane,2,6,0,0
lane,2,6,1,0
lane,2,6,2,0
lane,2,6,3,65
lane,2,7,0,0
lane,2,7,1,0
lane,2,7,2,35
lane,2,7,3,425
lane,2,8,0,0
lane,2,8,1,0
lane,2,8,2,0
lane,2,8,3,0
lane,2,9,0,0
lane,2,9,1,0
lane,2,9,2,0
lane,2,9,3,40
lane,2,10,0,0
lane,2,10,1,0
lane,2,10,2,20
lane,2,10,3,255
lane,2,11,0,0
lane,2,11,1,5
lane,2,11,2,190
lane,2,11,3,670
lane,2,12,0,0
lane,2,12,1,0
lane,2,12,2,5
lane,2,12,3,5
lane,2,13,0,0
lane,2,13,1,0
lane,2,13,2,30
lane,2,13,3,105
lane,2,14,0,0
lane,2,14,1,0
lane,2,14,2,150
lane,2,14,3,390
lane,2,15,0,0
lane,2,15,1,80
lane,2,15,2,410
lane,2,15,3,690
tile_total,2,-1,-1,3645
lane,3,0,0,0
lane,3,0,1,0
lane,3,0,2,0
lane,3,0,3,0
lane,3,1,0,0
lane,3,1,1,0
lane,3,1,2,0
lane,3,1,3,0
lane,3,2,0,0
lane,3,2,1,0
lane,3,2,2,0
lane,3,2,3,0
lane,3,3,0,0
lane,3,3,1,0
lane,3,3,2,0
lane,3,3,3,60
lane,3,4,0,0
lane,3,4,1,0
lane,3,4,2,0
lane,3,4,3,0
lane,3,5,0,0
lane,3,5,1,0
lane,3,5,2,0
lane,3,5,3,0
lane,3,6,0,0
lane,3,6,1,0
lane,3,6,2,0
lane,3,6,3,70
lane,3,7,0,0
lane,3,7,1,0
lane,3,7,2,15
lane,3,7,3,395
lane,3,8,0,0
lane,3,8,1,0
lane,3,8,2,0
lane,3,8,3,0
lane,3,9,0,0
lane,3,9,1,0
lane,3,9,2,0
lane,3,9,3,55
lane,3,10,0,0
lane,3,10,1,0
lane,3,10,2,15
lane,3,10,3,210
lane,3,11,0,0
lane,3,11,1,15
lane,3,11,2,195
lane,3,11,3,620
lane,3,12,0,0
lane,3,12,1,0
lane,3,12,2,0
lane,3,12,3,5
lane,3,13,0,0
lane,3,13,1,0
lane,3,13,2,30
lane,3,13,3,110
lane,3,14,0,0
lane,3,14,1,0
lane,3,14,2,205
lane,3,14,3,380
lane,3,15,0,5
lane,3,15,1,90
lane,3,15,2,395
lane,3,15,3,720
tile_total,3,-1,-1,3590
global_total,-1,-1,-1,14125
